Question,Option A,Option B,Categories,Work Safe,Mature,Shape,Why It Works
Have you ever cried at a commercial?,Yes,No,Emotion; Confession,TRUE,FALSE,CONFESS,Ads ambush even the stoics
Do you have a mug that nobody else is allowed to use?,Yes,No,Home; Habits; Confession,TRUE,FALSE,CONFESS,Mug loyalty runs deeper than admitted
Have you ever eaten a snack in the car so you wouldn't have to share?,Yes,No,Food & Drink; Humor; Confession,TRUE,FALSE,CONFESS,Car snacking is a private economy
Have you ever apologized to furniture after bumping into it?,Yes,No,Humor; Confession,TRUE,FALSE,CONFESS,Politeness outruns logic for many
Have you ever walked into a cafe or shop just to use the bathroom?,Yes,No,Confession; Etiquette,TRUE,FALSE,CONFESS,"Guilt vs pragmatism, both sides firm"
Do you still count on your fingers?,Yes,No,Self; Knowledge; Confession,TRUE,FALSE,CONFESS,"Quiet math shame, widely shared"
Have you ever rehearsed a speech for an award you'll never win?,Yes,No,Humor; Self; Confession,TRUE,FALSE,CONFESS,Shower Oscars are near universal
Do you dance when you're home alone?,Yes,No,Fun; Self; Confession,TRUE,FALSE,CONFESS,Private joy people rarely admit
Do you secretly like the smell of gasoline?,Yes,No,Taste; Confession,TRUE,FALSE,CONFESS,"Odd pleasure, surprisingly split"
Have you ever looked up how a show ends before you finished it?,Yes,No,Media; Confession,TRUE,FALSE,CONFESS,Spoiler seekers hide in plain sight
Have you ever peeked at a gift before you were supposed to?,Yes,No,Fun; Family; Confession,TRUE,FALSE,CONFESS,Self-spoilers vs willpower purists
Do you have one go-to story you tell every new group of people?,Yes,No,Social; Humor; Confession,TRUE,FALSE,CONFESS,Everyone tours their greatest hits
Do you get a little annoyed when your niche favorite goes mainstream?,Yes,No,Culture; Psychology; Confession,TRUE,FALSE,CONFESS,Gatekeeping instinct vs sharing joy
"Have you ever knocked on a door softly, hoping no one would answer?",Yes,No,Social; Humor; Confession,TRUE,FALSE,CONFESS,"Obligation met, escape secured"
Have you ever pocketed extra sauce packets to take home?,Yes,No,Food & Drink; Humor; Confession,TRUE,FALSE,CONFESS,The condiment drawer confession
Have you ever counted a stranger's items in the express checkout lane?,Yes,No,Norms; Humor; Confession,TRUE,FALSE,CONFESS,Silent rule enforcement is common
Have you ever secretly raced a stranger walking beside you?,Yes,No,Humor; Fun; Confession,TRUE,FALSE,CONFESS,Invisible competitions are everywhere
Have you ever panic-ordered something you didn't even want?,Yes,No,Food & Drink; Psychology; Confession,TRUE,FALSE,CONFESS,Counter pressure breaks everyone
Do you keep track of who texted last in a friendship?,Yes,No,Relationships; Communication; Confession,TRUE,FALSE,CONFESS,Scorekeepers vs the oblivious
Do you avoid looking at your bank balance after an expensive weekend?,Yes,No,Money; Psychology; Confession,TRUE,FALSE,CONFESS,Financial ostrich mode is common
Have you ever scrolled your own profile like a stranger would?,Yes,No,Technology; Self; Confession,TRUE,FALSE,CONFESS,"Self-lurking feels vain, is universal"
Do you keep screenshots of nice messages people sent you?,Yes,No,Emotion; Self; Habits,TRUE,FALSE,HABIT,Secret compliment archives
Have you ever unfollowed someone and hoped they wouldn't notice?,Yes,No,Social; Confession,TRUE,FALSE,CONFESS,The silent exit
Have you ever deleted a post within minutes of posting it?,Yes,No,Media; Self; Confession,TRUE,FALSE,CONFESS,Post regret moves fast
Have you ever retaken a 'candid' photo?,Yes,No,Media; Confession,TRUE,FALSE,CONFESS,Staged spontaneity
Have you ever snoozed the same reminder for over a week?,Yes,No,Productivity; Habits; Confession,TRUE,FALSE,CONFESS,Snooze until it stops existing
Have you ever said 'I've been meaning to text you' when you hadn't?,Yes,No,Communication; Confession,TRUE,FALSE,CONFESS,Retroactive good intentions
Have you ever used a fancier word in an email just to sound smarter?,Yes,No,Work; Communication; Confession,TRUE,FALSE,CONFESS,Vocabulary as costume
Have you ever fake-scrolled your phone while eavesdropping?,Yes,No,Social; Confession,TRUE,FALSE,CONFESS,"Ears open, eyes down"
Have you ever muted yourself on a call just to react honestly?,Yes,No,Work; Confession,TRUE,FALSE,CONFESS,Mute button therapy
Have you ever rehearsed an argument in the shower?,Yes,No,Psychology; Confession,TRUE,FALSE,CONFESS,Shower courtrooms are always in session
Have you ever told a story so often it's basically fiction now?,Yes,No,Confession; Humor; Self,TRUE,FALSE,CONFESS,Everyone has a polished legend
Do you secretly enjoy being mildly sick?,Yes,No,Health & Wellness; Confession; Psychology,TRUE,FALSE,CONFESS,Guilt-free permission to stop
Would you compete with a close friend for the same promotion?,Yes,No,Work; Relationships,TRUE,FALSE,GREY,"Ambition vs loyalty, pick one"
Is it okay to run personal errands during remote work hours?,Yes,No,Ethics; Work,TRUE,FALSE,GREY,Output vs hours on the clock
Should friends get your professional skills for free?,Yes,No,Money; Relationships; Ethics,TRUE,FALSE,GREY,Friendship vs fair pay
Is it okay to use a student discount after you've graduated?,Yes,No,Ethics; Money,TRUE,FALSE,GREY,Tiny fib or tiny fraud?
Is it okay to camp at a cafe table for hours over one coffee?,Yes,No,Etiquette; Ethics,TRUE,FALSE,GREY,Paying customer vs squatter
Is it okay to pick fruit from a branch hanging over the sidewalk?,Yes,No,Ethics; Home; Food & Drink,TRUE,FALSE,GREY,Public airspace vs their tree
Would you leave a bad review for a struggling small business?,Yes,No,Ethics; Consumer,TRUE,FALSE,GREY,Honesty vs mercy
Does posting about your charity donations cheapen them?,Yes,No,Ethics; Values; Social,TRUE,FALSE,GREY,Inspiring or showing off?
Would you report a teammate who does none of the work?,Yes,No,Work; Fairness; Ethics,TRUE,FALSE,GREY,Snitching vs carrying them
Would you return an outfit after wearing it once?,Yes,No,Ethics; Style; Consumer,TRUE,FALSE,GREY,"Tags tucked in, wrong or fine"
"Is it okay to try things in a store, then buy cheaper online?",Yes,No,Ethics; Consumer; Money,TRUE,FALSE,GREY,Smart shopping vs freeloading
Is it okay to tip less for bad service?,Yes,No,Money; Norms; Ethics,TRUE,FALSE,GREY,Feedback or punishment
Would you claim a fake birthday for free dessert?,Yes,No,Fun; Ethics; Food & Drink,TRUE,FALSE,GREY,Harmless bit or cringey lie
Would you make a new account to reuse a free trial?,Yes,No,Technology; Ethics; Money,TRUE,FALSE,GREY,Loophole or theft
Is blocking ads on sites you love freeloading?,Yes,No,Technology; Ethics; Media,TRUE,FALSE,GREY,"You benefit, someone pays"
Would you cover for a coworker who slipped out early?,Yes,No,Work; Trust; Ethics,TRUE,FALSE,GREY,Peer loyalty vs the rules
Would you report a coworker padding expense reports?,Yes,No,Ethics; Work & Money; Fairness,TRUE,FALSE,GREY,Snitch or accomplice
Would you stay quiet about a friend's costly mistake at work?,Yes,No,Work; Trust; Ethics,TRUE,FALSE,GREY,Protect them or the team
Would you back a friend in public even when they're wrong?,Yes,No,Trust; Ethics; Relationships,TRUE,FALSE,GREY,"Loyalty vs honesty, in the open"
Would you charge a friend for gas on a long road trip?,Yes,No,Money; Travel; Norms,TRUE,FALSE,GREY,Fair split or stingy
Would you cosign a loan for a close family member?,Yes,No,Money; Family; Risk,TRUE,FALSE,GREY,Family duty vs financial risk
Would you tell friends you dislike the baby name they picked?,Yes,No,Family; Etiquette; Ethics,TRUE,FALSE,GREY,Speak now or smile forever
Would you tell your best friend a secret your partner told you?,Yes,No,Trust; Relationships; Ethics,TRUE,FALSE,GREY,Whose confidant are you
Is paying to skip the line at a theme park fair?,Yes,No,Fairness; Money; Ethics,TRUE,FALSE,GREY,Money vs waiting your turn
Is it okay to cancel plans when a better offer comes along?,Yes,No,Social; Ethics; Norms,TRUE,FALSE,GREY,"Everyone has, few admit it"
Is it okay to fake plans to dodge an invitation?,Yes,No,Social; Ethics; Communication,TRUE,FALSE,GREY,Kind lie vs honest no
Is passing off store-bought food as homemade at a potluck okay?,Yes,No,Food & Drink; Ethics; Confession,TRUE,FALSE,GREY,The potluck bluff divides hosts
Would you secretly redo a chore your partner just did?,Yes,No,Home; Relationships; Etiquette,TRUE,FALSE,GREY,"Standards vs respect, every couple fights it"
Would you warn a friend about their own surprise party?,Yes,No,Relationships; Fun; Ethics,TRUE,FALSE,GREY,Their dread vs everyone else's fun
Would you apply for a job you know a friend wants badly?,Yes,No,Work; Ethics; Relationships,TRUE,FALSE,GREY,Fair game or friendship foul
Would you secretly replace a plant you killed while plant-sitting?,Yes,No,Ethics; Humor; Confession,TRUE,FALSE,GREY,The cover-up everyone calls kindness
Would you ghost your longtime hairdresser to switch salons?,Yes,No,Etiquette; Confession; Humor,TRUE,FALSE,GREY,The breakup nobody knows how to do
Would you move to a better empty seat you didn't pay for?,Yes,No,Travel; Ethics; Norms,TRUE,FALSE,GREY,Wasted seat or quiet upgrade theft
Would you rather have an extra hour every morning or every evening?,Morning,Evening,Habits; Lifestyle,TRUE,FALSE,TRADE,Early birds vs night owls in disguise
Would you rather remember everything or be able to forget anything?,Remember all,Forget anything,Psychology; Deep,TRUE,FALSE,TRADE,Perfect recall sounds great until it doesn't
Would you rather live somewhere with perfect weather or incredible food?,Great weather,Great food,Lifestyle; Preferences,TRUE,FALSE,TRADE,Daily comfort vs daily pleasure
Would you rather never need sleep or never need food?,Never sleep,Never eat,Deep; Health & Wellness,TRUE,FALSE,TRADE,"Sleep lovers vs food lovers, forced pick"
Would you rather be your own boss with no safety net or an employee with security?,Own boss,Employee,Career; Risk,TRUE,FALSE,TRADE,"Freedom vs security, career edition"
Would you rather always speak your mind or never offend anyone?,Speak my mind,Never offend,Communication; Values,TRUE,FALSE,TRADE,Blunt people vs peacekeepers
Would you rather go a month without internet or without hot water?,No internet,No hot water,Habits; Technology,TRUE,FALSE,TRADE,"Comfort vs connection, brutally direct"
Would you rather live in one place forever or move every two years?,Stay rooted,Keep moving,Lifestyle; Adventure,TRUE,FALSE,TRADE,Roots people vs novelty people
Would you rather vacation with your family or your friends?,Family,Friends,Travel; Family,TRUE,FALSE,TRADE,"Loyalty vs fun, vacation edition"
Would you rather give up naps or snacks forever?,Naps,Snacks,Habits; Food & Drink,TRUE,FALSE,TRADE,Which small pleasure is load bearing
Would you rather win an Olympic gold medal or a Nobel Prize?,Olympic gold,Nobel Prize,Values; Knowledge,TRUE,FALSE,TRADE,Body glory vs brain glory
Would you rather have an extra day each week or an extra hour each day?,Extra day,Extra hour,Productivity; Lifestyle,TRUE,FALSE,TRADE,Big blocks vs daily breathing room
Would you rather always pick the restaurant or never have to decide?,Always choose,Never decide,Food & Drink; Psychology,TRUE,FALSE,TRADE,Control vs decision fatigue
"Money aside, would you rather always eat in or always eat out?",Eat in,Eat out,Food & Drink; Lifestyle,TRUE,FALSE,TRADE,Homebodies vs restaurant people
Would you rather ride in a hot air balloon or a submarine?,Balloon,Submarine,Adventure; Risk,TRUE,FALSE,TRADE,Fear of heights vs fear of depths
"For a day out with friends, theme park or museum?",Theme park,Museum,Fun; Culture,TRUE,FALSE,TRADE,"Thrills vs culture, friend group test"
Would you rather celebrate your birthday big or let it pass quietly?,Go big,Keep it quiet,Social; Self,TRUE,FALSE,TRADE,Birthday maximalists vs birthday hiders
Would you rather give up coffee or social media for a year?,Coffee,Social media,Habits; Technology,TRUE,FALSE,TRADE,Ranks your dependencies
Would you rather move for your partner's career or have them move for yours?,I move,They move,Relationships; Career; Fairness,TRUE,FALSE,TRADE,Whose dream leads the couple
Would you rather cry in front of your boss or your in-laws?,My boss,My in-laws,Emotion; Work; Family,TRUE,FALSE,TRADE,Forces a ranking of audiences
Would you rather sit by a chatty stranger or a smelly one on a long flight?,Chatty,Smelly,Travel; Etiquette; Humor,TRUE,FALSE,TRADE,"Ears or nose, pick one"
Would you rather a month without your phone or a week without showering?,No phone,No shower,Technology; Habits; Humor,TRUE,FALSE,TRADE,Hygiene vs connection
Would you rather only text or only call for a year?,Text only,Call only,Communication; Preferences,TRUE,FALSE,TRADE,A generational fault line
Would you rather speak brutal honesty for a week or hear it about yourself?,Dish it,Hear it,Communication; Self; Ethics,TRUE,FALSE,TRADE,Give or take the truth
Would you rather look ten years older or feel ten years older?,Look older,Feel older,Health & Wellness; Self; Life Stage,TRUE,FALSE,TRADE,Vanity vs vitality
Would you rather peak at 25 or peak at 60?,Peak at 25,Peak at 60,Life Stage; Deep; Future,TRUE,FALSE,TRADE,When do you want your glory
Would you rather give up streaming or takeout for a year?,Streaming,Takeout,Lifestyle; Consumer; Food & Drink,TRUE,FALSE,TRADE,Comfort rankings exposed
Would you rather be broke and gorgeous or rich and ordinary?,Broke and gorgeous,Rich and ordinary,Money; Self; Values,TRUE,FALSE,TRADE,Vanity meets the wallet
Would you rather get engaged on a jumbotron or elope with no photos?,Jumbotron,Elope,Relationships; Social; Norms,TRUE,FALSE,TRADE,Spotlight tolerance test
Is white chocolate real chocolate?,Yes,No,Food & Drink; Debate,TRUE,FALSE,TASTE,Purists vs sweet tooths
Is cheesecake a cake or a pie?,Cake,Pie,Food & Drink; Debate,TRUE,FALSE,TASTE,The name itself picks a side
Does a sandwich cut diagonally taste better?,Yes,No,Food & Drink; Psychology,TRUE,FALSE,TASTE,"Irrational, yet half say yes"
Is golf a real sport?,Yes,No,Debate; Culture,TRUE,FALSE,TASTE,Athletes vs a nice long walk
Is competitive video gaming a sport?,Yes,No,Technology; Debate,TRUE,FALSE,TASTE,Generational line in the sand
Is a firm mattress better than soft?,Firm,Soft,Home; Preferences,TRUE,FALSE,TASTE,Couples negotiate this nightly
Is a minimalist home better than a cozy cluttered one?,Minimalist,Cozy clutter,Home; Design,TRUE,FALSE,TASTE,Serenity vs soul
Is traveling solo better than with friends?,Solo,With friends,Travel; Social,TRUE,FALSE,TASTE,Total freedom vs shared memories
Do spoilers actually ruin a story?,Yes,No,Entertainment; Debate,TRUE,FALSE,TASTE,Spoiler-phobes vs shruggers
Are musicals wonderful or unbearable?,Wonderful,Unbearable,Entertainment; Taste,TRUE,FALSE,TASTE,Sudden song divides any room
Is rain cozy or gloomy?,Cozy,Gloomy,Emotion; Preferences,TRUE,FALSE,TASTE,"Same sky, opposite moods"
Are roller coasters thrilling or torture?,Thrilling,Torture,Adventure; Fun,TRUE,FALSE,TASTE,Adrenaline vs the queasy
Are big dogs better than small dogs?,Big dogs,Small dogs,Preferences; Humor,TRUE,FALSE,TASTE,Lap loyalists vs the pack
Are matching couple outfits cute or cringe?,Cute,Cringe,Style; Relationships,TRUE,FALSE,TASTE,"Adorable to half, alarming to half"
Is being sung Happy Birthday lovely or excruciating?,Lovely,Excruciating,Social; Humor,TRUE,FALSE,TASTE,Nobody knows where to look
Does the week start on Monday or Sunday?,Monday,Sunday,Debate; Culture,TRUE,FALSE,GREY,Even calendars disagree
Is silence better than music for deep work?,Silence,Music,Work; Productivity,TRUE,FALSE,TASTE,Focus fuel differs wildly
Are documentaries entertainment or homework?,Entertainment,Homework,Media; Humor; Entertainment,TRUE,FALSE,TASTE,Doc lovers vs people who fell asleep
Do lyrics matter more than the melody?,Lyrics,Melody,Music; Taste; Debate,TRUE,FALSE,TASTE,Words people vs vibes people
Is background TV comforting or annoying?,Comforting,Annoying,Home; Media; Preferences,TRUE,FALSE,TASTE,Noise-for-company vs silence households
Are sneakers acceptable at a wedding?,Yes,No,Style; Etiquette,TRUE,FALSE,NORM,Comfort modernists vs dress-code loyalists
Is all black an outfit or a shortcut?,An outfit,A shortcut,Style; Debate; Humor,TRUE,FALSE,TASTE,Chic minimalists vs the gave-up accusation
Do gym clothes count as an outfit?,Yes,No,Style; Lifestyle; Humor,TRUE,FALSE,TASTE,Athleisure believers vs put-together purists
Is ironing clothes worth the effort?,Yes,No,Style; Home; Habits,TRUE,FALSE,TASTE,Crisp-shirt people vs wrinkle acceptors
Are matching family outfits adorable or alarming?,Adorable,Alarming,Style; Family; Humor,TRUE,FALSE,TASTE,Holiday-card fans vs the secondhand cringe
Is wearing the same outfit every day genius or lazy?,Genius,Lazy,Style; Lifestyle; Debate,TRUE,FALSE,TASTE,Decision-fatigue optimizers vs variety fans
Is a tablet just a big phone?,Yes,No,Technology; Humor; Debate,TRUE,FALSE,TASTE,"Classification bait, tablet owners get defensive"
Is a big phone better than a small one?,Big,Small,Technology; Preferences,TRUE,FALSE,TASTE,Screen maximalists vs one-hand loyalists
Does scrolling your phone count as a hobby?,Yes,No,Technology; Humor; Lifestyle,TRUE,FALSE,TASTE,Honest classifiers vs people in denial
Is 'literally' fine when you mean figuratively?,Yes,No,Communication; Debate; Humor,TRUE,FALSE,NORM,Language evolves vs literally means literally
Are emojis acceptable in work emails?,Yes,No,Work; Communication; Etiquette,TRUE,FALSE,NORM,Warmth signalers vs professionalism purists
Is 'moist' a genuinely unpleasant word?,Yes,No,Communication; Humor,TRUE,FALSE,TASTE,Visceral shudder vs it's just a word
Is it 'ee-ther' or 'eye-ther'?,Ee-ther,Eye-ther,Communication; Debate; Fun,TRUE,FALSE,TASTE,Both sides certain the other sounds wrong
Are pet names for partners in public sweet or cringey?,Sweet,Cringey,Relationships; Communication; Humor,TRUE,FALSE,TASTE,Affection-forward couples vs the wincers
Is sarcasm a love language?,Yes,No,Humor; Relationships; Communication,TRUE,FALSE,TASTE,Teasing-is-affection vs just-be-nice camps
Is carpet cozy or gross?,Cozy,Gross,Home; Design; Debate,TRUE,FALSE,TASTE,Warm-toes comfort vs what-lives-in-there
Is a staycation a real vacation?,Yes,No,Travel; Debate; Lifestyle,TRUE,FALSE,TASTE,Rest-is-rest vs doesn't-count purists
Is taking a coworker's milk theft or fair game?,Theft,Fair game,Work; Food & Drink; Humor,TRUE,FALSE,GREY,Office fridge communism divides teams
Is an expensive daily coffee self-care or a money leak?,Self-care,Money leak,Money; Habits; Lifestyle,TRUE,FALSE,TASTE,Latte math starts real fights
Is a cash bar at a wedding a crime?,Yes,No,Money; Etiquette; Debate,TRUE,FALSE,NORM,Hospitality duty vs budget reality
Is hiding good snacks from your household fair play?,Yes,No,Home; Food & Drink; Humor,TRUE,FALSE,NORM,Self-preservation or household betrayal
Are humans wired more for competition or cooperation?,Competition,Cooperation,Belief; Psychology; Society,TRUE,FALSE,BELIEF,Core human nature split
Do genes or upbringing shape us more?,Genes,Upbringing,Belief; Science; Family,TRUE,FALSE,BELIEF,"Nature vs nurture, forever"
Do things usually work out in the end?,Yes,No,Belief; Emotion,TRUE,FALSE,BELIEF,Baseline optimism check
Is procrastination laziness or fear?,Laziness,Fear,Psychology; Productivity,TRUE,FALSE,BELIEF,How gently do you judge yourself
Is forgiveness earned or given?,Earned,Given,Ethics; Belief; Deep,TRUE,FALSE,BELIEF,Grace vs accountability
Does time heal all wounds?,Yes,No,Belief; Emotion; Deep,TRUE,FALSE,BELIEF,Healers vs scar keepers
Should couples live together before marriage?,Yes,No,Relationships; Norms,TRUE,FALSE,NORM,Test drive vs tradition
Is marriage outdated?,Yes,No,Relationships; Society; Norms,TRUE,FALSE,BELIEF,Institution vs evolution
Does birth order shape personality?,Yes,No,Family; Psychology; Belief,TRUE,FALSE,BELIEF,Oldest kids say obviously
Do kids need more discipline or more freedom?,Discipline,Freedom,Family; Values; Debate,TRUE,FALSE,BELIEF,Parenting philosophy split
Is the expensive version usually better?,Yes,No,Consumer; Belief,TRUE,FALSE,BELIEF,Price equals quality faith
Will AI make everyday life better or worse?,Better,Worse,Technology; Future,TRUE,FALSE,BELIEF,Techno optimism split
Could an AI ever truly feel emotions?,Yes,No,Technology; Deep; Belief,TRUE,FALSE,BELIEF,The silicon soul question
Would you trust a self-driving car over a human driver?,Self-driving,Human driver,Technology; Trust; Risk,TRUE,FALSE,BELIEF,Faith in machines vs people
Can online friendships be as deep as in-person ones?,Yes,No,Technology; Social; Belief,TRUE,FALSE,BELIEF,Screen bond skeptics
Is some art objectively better than other art?,Yes,No,Culture; Debate; Belief,TRUE,FALSE,BELIEF,Standards vs pure taste
Do you trust experts over your own research?,Experts,My research,Trust; Belief,TRUE,FALSE,BELIEF,Authority vs autonomy
Is aging something to fight or accept?,Fight,Accept,Life Stage; Belief,TRUE,FALSE,BELIEF,Defiance vs grace
Is great talent born or built?,Born,Built,Belief; Self,TRUE,FALSE,BELIEF,Gift vs grind worldview
Does suffering actually build character?,Yes,No,Deep; Belief,TRUE,FALSE,BELIEF,Growth myth vs hard truth
Do actions matter more than intentions?,Actions,Intentions,Ethics; Values,TRUE,FALSE,BELIEF,Two moral compasses
Is it better to be lucky than good?,Yes,No,Belief; Risk,TRUE,FALSE,BELIEF,What actually wins in life
Can long-distance love really work?,Yes,No,Relationships; Debate,TRUE,FALSE,BELIEF,Romantics vs realists
Can you fall in love over text alone?,Yes,No,Relationships; Technology,TRUE,FALSE,BELIEF,Modern romance divide
Will robots take most jobs in your lifetime?,Yes,No,Future; Technology; Work,TRUE,FALSE,BELIEF,Tech dread vs tech faith
Will humans live on Mars in your lifetime?,Yes,No,Future; Science,TRUE,FALSE,BELIEF,Space optimism gauge
Would you want to see the world 100 years after you're gone?,Yes,No,Future; Deep,TRUE,FALSE,TRADE,Curiosity vs closure
Could we be living in a simulation?,Yes,No,Belief; Technology; Deep,TRUE,FALSE,BELIEF,Reality skeptics emerge
Can you manifest things by believing hard enough?,Yes,No,Belief; Psychology,TRUE,FALSE,BELIEF,Mindset magic split
Is deja vu just a brain glitch?,Glitch,Something more,Belief; Science,TRUE,FALSE,BELIEF,Mystic vs mechanic
Does money change everyone who gets it?,Yes,No,Belief; Money; Psychology,TRUE,FALSE,BELIEF,Wealth as character test
Is networking just polite manipulation?,Yes,No,Belief; Work; Ethics,TRUE,FALSE,BELIEF,Cynics vs natural connectors
Is being super frugal a virtue or a fear?,Virtue,Fear,Belief; Money; Psychology,TRUE,FALSE,BELIEF,Savers get psychoanalyzed
Is closure real or something we invent?,Real,Invented,Belief; Psychology; Emotion,TRUE,FALSE,BELIEF,Healing narrative split
Is it rude to be late if you texted a heads-up?,Yes,No,Social; Etiquette,TRUE,FALSE,NORM,"A warning text resets the clock, or not"
Is showing up early to a party rude?,Yes,No,Social; Etiquette,TRUE,FALSE,NORM,Hosts dread the early guest
Is it okay to wear pajamas to the grocery store?,Yes,No,Style; Norms,TRUE,FALSE,NORM,Comfort vs public standards
Is it rude to drop by a friend's place unannounced?,Yes,No,Social; Etiquette,TRUE,FALSE,NORM,"The pop-in died, or did it"
Is it okay to send work messages late at night?,Yes,No,Work; Communication,TRUE,FALSE,NORM,'No rush' still pressures
Should kids call adults by their first names?,Yes,No,Family; Norms,TRUE,FALSE,NORM,Respect vs stuffiness
Is it okay to leave a group chat without a word?,Yes,No,Communication; Social,TRUE,FALSE,NORM,Silent exit or farewell post
Is it rude to ask what someone paid for their home?,Yes,No,Money; Housing; Etiquette,TRUE,FALSE,NORM,"It's online anyway, or private"
Is a digital wedding invitation acceptable?,Yes,No,Norms; Culture,TRUE,FALSE,NORM,Paper tradition vs practicality
Is it okay to ask for a bite of someone's meal?,Yes,No,Food & Drink; Etiquette,TRUE,FALSE,NORM,Sharers vs plate defenders
Is it okay to ask friends to chip in after you host dinner?,Yes,No,Money; Social; Etiquette,TRUE,FALSE,NORM,Hosting costs vs generosity
Is eating during a video call rude?,Yes,No,Work; Etiquette,TRUE,FALSE,NORM,Remote manners still unsettled
Is it okay to return a gift you don't like?,Yes,No,Norms; Consumer,TRUE,FALSE,NORM,Sentiment vs practicality
Is it rude to double-text before getting a reply?,Yes,No,Communication; Etiquette,TRUE,FALSE,NORM,The keen vs pushy line moves
Is sending condolences by text acceptable?,Yes,No,Communication; Norms,TRUE,FALSE,NORM,Grief etiquette in flux
Is it rude to call someone after 9pm?,Yes,No,Communication; Etiquette,TRUE,FALSE,NORM,The late-call line moves by age
Is a one-star review fair after one bad visit?,Yes,No,Fairness; Consumer,TRUE,FALSE,NORM,One strike vs benefit of doubt
Is opening a friend's fridge without asking okay?,Yes,No,Social; Home; Etiquette,TRUE,FALSE,NORM,The closeness threshold varies
Is keeping one earbud in during a conversation rude?,Yes,No,Etiquette; Technology,TRUE,FALSE,NORM,Half-listening allowed or not
Is texting someone in the same room as you weird?,Yes,No,Communication; Norms; Humor,TRUE,FALSE,NORM,Convenient or dystopian
Is a gym membership an insulting gift?,Yes,No,Norms; Humor,TRUE,FALSE,NORM,Thoughtful or a pointed hint
Is it rude to ask who else is coming before you RSVP?,Yes,No,Social; Etiquette,TRUE,FALSE,NORM,Honest filter or insulting
Is it okay to invite a friend but not their partner?,Yes,No,Social; Relationships; Etiquette,TRUE,FALSE,NORM,Package deal or separate people
Is it okay to post about a party some friends weren't invited to?,Yes,No,Social; Media; Etiquette,TRUE,FALSE,NORM,Your feed vs their feelings
Is it okay to post your kids all over social media?,Yes,No,Family; Media; Norms,TRUE,FALSE,NORM,Proud parent vs kid's consent
Is it okay to nap during work hours if your work is done?,Yes,No,Work; Norms; Productivity,TRUE,FALSE,NORM,Output vs optics
Is it okay to quit a job without giving notice?,Yes,No,Work; Career; Ethics,TRUE,FALSE,NORM,Loyalty norm vs at-will truth
Is it okay to eat a roommate's food if you replace it?,Yes,No,Home; Food & Drink; Norms,TRUE,FALSE,NORM,Borrowing or theft with a plan
Is it okay to tell a friend their new haircut looks bad?,Yes,No,Social; Communication; Style,TRUE,FALSE,NORM,Honesty too late to help
Do you hit snooze at least once most mornings?,Yes,No,Habits; Lifestyle,TRUE,FALSE,HABIT,Snoozers vs one-alarm risers
Do you stick to your side of the bed even when alone?,Yes,No,Habits; Psychology,TRUE,FALSE,HABIT,Creatures of habit vs starfish
Do you follow recipes exactly or improvise?,Exactly,Improvise,Food & Drink; Habits,TRUE,FALSE,HABIT,Rule cooks vs vibe cooks
Do you order the same dish at restaurants you love?,Same dish,Something new,Food & Drink; Habits,TRUE,FALSE,HABIT,The usual vs menu explorers
Do you read the instructions or figure it out as you go?,Read them,Wing it,Habits; Psychology,TRUE,FALSE,HABIT,Manual readers vs intuiters
Do you use GPS even on routes you know?,Yes,No,Technology; Habits,TRUE,FALSE,HABIT,Nav dependents vs mental mappers
Do you use full punctuation in casual texts?,Yes,No,Communication; Habits,TRUE,FALSE,HABIT,Periods read as anger to some
Do you send voice notes?,Yes,No,Communication; Habits,TRUE,FALSE,HABIT,Talkers vs typers
Do you keep your camera on by default in video calls?,On,Off,Work; Technology,TRUE,FALSE,HABIT,Faces vs black squares
Do you check your bank balance most days?,Yes,No,Money; Habits,TRUE,FALSE,HABIT,Checkers vs blissfully unaware
Do you follow the five-second rule?,Yes,No,Habits; Fun,TRUE,FALSE,HABIT,"Everyone knows it's fake, half still do it"
Do you wet the toothbrush before adding toothpaste?,Yes,No,Habits; Debate,TRUE,FALSE,HABIT,"Wet-first vs dry-first, weirdly heated"
Is taking a bath just soaking in your own filth?,Yes,No,Debate; Health & Wellness,TRUE,FALSE,BELIEF,"Human soup discourse, recurring"
Could you happily marry a loud snorer?,Yes,No,Relationships; Fun; Health & Wellness,TRUE,FALSE,MIRROR,Love vs sleep; dealbreaker test
Have you ever kept the plastic film on a new gadget for weeks?,Yes,No,Consumer; Habits; Confession,TRUE,FALSE,CONFESS,Preserving newness vs the peel
Do you read your horoscope even though you don't believe it?,Yes,No,Belief; Confession,TRUE,FALSE,CONFESS,Ironic believers are legion
Do you check flight prices for trips you know you'll never take?,Yes,No,Travel; Fun; Confession,TRUE,FALSE,HABIT,Dream trips as browser hobby
Have you ever claimed 'another meeting' just to escape one?,Yes,No,Work; Confession,TRUE,FALSE,CONFESS,The polite meeting eject
Have you ever blamed a glitch for something you just forgot?,Yes,No,Work; Technology; Confession,TRUE,FALSE,CONFESS,Tech takes the fall for us all
Have you ever done chores off camera during a work call?,Yes,No,Work; Home; Confession,TRUE,FALSE,CONFESS,Multitasking's quiet frontier
Have you ever raved about food you secretly never want again?,Yes,No,Food & Drink; Etiquette; Confession,TRUE,FALSE,CONFESS,Kind reviews at the table
Have you ever filled an online cart with no plan to buy anything?,Yes,No,Consumer; Habits,TRUE,FALSE,HABIT,Window shopping 2.0
